No.;Quantity;Comment;Designator;Footprint;Value;Manufacturer Part;Manufacturer;Supplier Part;Supplier
1;1;PJ-3126-5A // SJ1-3525NG;AUDIO1;AUDIO-TH_PJ-3126-5A;;"PJ-3126-5A
// SJ1-3525NG";"韩国韩荣 
// Same SKY";C145816;LCSC
2;2;1uF;C1,C15;C0603;1uF;CL10A105KB8NNNC;SAMSUNG(三星);C15849;LCSC
3;5;100nF;C3,C6,C7,C9,C14;C0603;100nF;CC0603KRX7R9BB104;YAGEO(国巨);C14663;LCSC
4;1;10nF;C4;C0805;10nF;CL21B103KBANNNC;SAMSUNG(三星);C1710;LCSC
5;1;47uF;C5;C1206;47uF;CL31A476MPHNNNE;SAMSUNG(三星);C96123;LCSC
6;6;10nF;C11,C12,C13,C16,C17,C18;C0603;10nF;0603B103K500NT;FH(风华);C57112;LCSC
7;1;10uF;C21;C0603;10uF;CL10A106KP8NNNC;SAMSUNG(三星);C19702;LCSC
8;1;470uF;C22;CAP-TH_BD10.0-P5.00-D1.0-FD;470uF;35YXJ470M10x16;"rubycon(红宝石) //
Nichicon UFW1C471MPD1TD or any 470 uF audio grade prefered";C88732;LCSC
9;1;10uF;C24;C0805;10uF;CL21A106KAYNNNE;SAMSUNG(三星);C15850;LCSC
10;1;2.2nF;C25;C0603;2.2nF;0603B222K500NT;FH(风华);C1604;LCSC
11;1;220uF;C26;CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-R-RD;220uF;RVT1A221M0605;HONOR(荣誉);C3345;LCSC
12;1;B5819W SL;D1;SOD-123_L2.7-W1.6-LS3.7-RD-1;;B5819W SL;CJ(江苏长电/长晶);C8598;LCSC
13;1;MINISMDC050F-2;F1;F1812;;MINISMDC050F-2;Littelfuse(美国力特);C2649901;LCSC
14;2;HDR-M_2.54_1x4P;H3,H4;HDR-TH_4P-P2.54-V-M;;;;;
15;1;KT-0603R;LED1;LED-SMD_L1.6-W0.8-R-RD;;KT-0603R;KENTO;C2286;LCSC
16;2;BSS138;Q3,Q4;SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR;;BSS138;luJing(鲁晶);C53058666;LCSC
17;2;5.1kΩ;R1,R3;R0603;5.1kΩ;0603WAF5101T5E;UNI-ROYAL(厚声);C23186;LCSC
18;1;470Ω;R2;R0603;470Ω;0603WAF4700T5E;UNI-ROYAL(厚声);C23179;LCSC
19;1;1.5kΩ;R4;R0603;1.5kΩ;0603WAF1501T5E;UNI-ROYAL(厚声);C22843;LCSC
20;11;10kΩ;R5,R7,R11,R12,R13,R18,R19,R27,R28,R29,R30;R0603;10kΩ;0603WAF1002T5E;UNI-ROYAL(厚声);C25804;LCSC
21;2;33Ω;R6,R9;R0603;33Ω;0603WAF330JT5E;UNI-ROYAL(厚声);C23140;LCSC
22;1;100kΩ;R8;R0603;100kΩ;0603WAF1003T5E;UNI-ROYAL(厚声);C25803;LCSC
23;1;100kΩ;R23;CONN-TH_PTA2043-2015CPB103;100kΩ;PTA2043-2010CIB104;BOURNS;C17691032;LCSC
24;1;220Ω;R31;R0603;220Ω;0603WAF2200T5E;UNI-ROYAL(厚声);C22962;LCSC
25;1;10Ω;R32;R0603;10Ω;0603WAF100JT5E;UNI-ROYAL(厚声);C22859;LCSC
26;3;LCK-TA002H75-2WS;SW4,SW5,SW6;SW-TH_4P-L6.0-W6.0-P4.50-LS6.5-H14.0;;LCK-TA002H75-2WS;LCKELEC(联晟欣);C52036980;LCSC
27;4;ALPHA 9MM VERTICAL;U1,U2,U3,U4;ALPHA_9MM_VERT;;Alpha 9mm;Bourns work well too;10K lin;
28;1;MCP6002-I/SN;U6;SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL;;MCP6002-I/SN;MICROCHIP(美国微芯);C116706;LCSC
29;1;TYPE-C 6P;USB1;TYPE-C-SMD_TYPE-C-6P_1;;TYPE-C 6P;SHOU HAN(首韩);C456012;LCSC
